genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,release_year,title_norm
"[18, 10749]",56743,en,Elena Undone,8.531,2010-06-25,Elena Undone,7.2,81,2010,elena undone
"[53, 27]",34583,en,The Final,8.517000000000001,2010-01-28,The Final,5.6,131,2010,the final
"[27, 35, 53]",43919,en,Hatchet II,8.513,2010-10-01,Hatchet II,5.5,160,2010,hatchet ii
[35],45523,en,Louis C.K.: Hilarious,8.504,2010-01-26,Louis C.K.: Hilarious,8.0,127,2010,louis ck hilarious
"[80, 53, 35, 9648]",27004,en,Ca$h,8.503,2010-01-01,Ca$h,5.8,112,2010,cah
"[10751, 35]",38579,en,Marmaduke,8.487,2010-06-04,Marmaduke,5.1,367,2010,marmaduke
[35],32823,en,Get Him to the Greek,8.485,2010-06-04,Get Him to the Greek,5.9,980,2010,get him to the greek
"[10749, 878]",59457,en,Womb,8.482999999999999,2010-07-15,Womb,6.1,159,2010,womb
"[18, 80]",48838,en,London Boulevard,8.469,2010-11-12,London Boulevard,5.9,409,2010,london boulevard
"[53, 18, 28, 80]",40720,en,Twelve,8.46,2010-07-30,Twelve,5.9,147,2010,twelve
"[14, 18, 28, 53, 16]",71883,ja,レドライン,8.436,2010-09-23,Redline,7.4,110,2010,redline
"[35, 18]",39781,en,The Kids Are All Right,8.426,2010-07-09,The Kids Are All Right,6.6,854,2010,the kids are all right
"[28, 12, 14, 27]",12685,en,BloodRayne: The Third Reich,8.419,2010-11-05,BloodRayne: The Third Reich,3.7,83,2010,bloodrayne the third reich
"[9648, 53]",11761,it,Peacock,8.414,2010-04-20,Peacock,6.1,104,2010,peacock
"[14, 27, 53]",46261,en,Don't Be Afraid of the Dark,8.405,2010-11-06,Don't Be Afraid of the Dark,5.5,550,2010,dont be afraid of the dark
"[16, 18]",41201,fr,L'illusionniste,8.404,2010-12-25,The Illusionist,7.4,280,2010,the illusionist
"[18, 53]",44113,en,Stone,8.401,2010-10-22,Stone,5.2,334,2010,stone
[18],31007,en,Welcome to the Rileys,8.347999999999999,2010-10-29,Welcome to the Rileys,6.5,241,2010,welcome to the rileys
"[35, 18, 14, 27, 9648]",45649,en,Rubber,8.318999999999999,2010-09-01,Rubber,5.9,417,2010,rubber
"[53, 28, 18]",30618,en,Bunraku,8.282,2010-09-01,Bunraku,5.9,161,2010,bunraku
"[35, 18, 10749]",38073,en,Going the Distance,8.281,2010-09-03,Going the Distance,6.0,394,2010,going the distance
"[27, 53]",52274,es,Los ojos de Julia,8.267999999999999,2010-10-29,Julia's Eyes,6.7,415,2010,julias eyes
"[12, 14, 28, 37, 53]",46528,en,The Warrior's Way,8.259,2010-12-03,The Warrior's Way,6.1,203,2010,the warriors way
