id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,profit_ratio,profit,year_x,title,studio,domestic_gross_y,foreign_gross,year_y,total_gross,budget_category
33,2011-11-18,Happy Feet Two,135000000.0,64006466.0,157956466.0,1.1700478962962964,22956466.0,2011,Happy Feet Two,WB,64000000.0,86400000.0,2011,150400000.0,High
35,2018-11-02,The Nutcracker and the Four Realms,132900000.0,54858851.0,170293899.0,1.281368690744921,37393899.0,2018,The Nutcracker and the Four Realms,BV,54900000.0,119100000.0,2018,174000000.0,High
37,2014-11-26,Penguins of Madagascar,132000000.0,83350911.0,366942531.0,2.7798676590909093,234942531.0,2014,Penguins of Madagascar,Fox,83400000.0,289700000.0,2014,373100000.0,High
38,2013-11-22,The Hunger Games: Catching Fire,130000000.0,424668047.0,864868047.0,6.652831130769231,734868047.0,2013,The Hunger Games: Catching Fire,LGF,424700000.0,440300000.0,2013,865000000.0,High
41,2018-07-06,Ant-Man and the Wasp,130000000.0,216648740.0,623144660.0,4.793420461538462,493144660.0,2018,Ant-Man and the Wasp,BV,216600000.0,406000000.0,2018,622600000.0,High
43,2015-07-17,Ant-Man,130000000.0,180202163.0,518858449.0,3.9912188384615384,388858449.0,2015,Ant-Man,BV,180200000.0,339100000.0,2015,519300000.0,High
45,2018-12-19,Mary Poppins Returns,130000000.0,171958438.0,341528518.0,2.627142446153846,211528518.0,2018,Mary Poppins Returns,BV,172000000.0,177600000.0,2018,349600000.0,High
46,2011-10-28,Puss in Boots,130000000.0,149260504.0,554987477.0,4.269134438461538,424987477.0,2011,Puss in Boots,P/DW,149300000.0,405700000.0,2011,555000000.0,High
47,2010-11-05,Megamind,130000000.0,148415853.0,321887208.0,2.476055446153846,191887208.0,2010,Megamind,P/DW,148400000.0,173500000.0,2010,321900000.0,High
49,2014-04-11,Rio 2,130000000.0,131538435.0,492846291.0,3.7911253153846154,362846291.0,2014,Rio 2,Fox,131500000.0,368600000.0,2014,500100000.0,High
50,2010-07-23,Salt,130000000.0,118311368.0,290650494.0,2.2357730307692307,160650494.0,2010,Salt,Sony,118300000.0,175200000.0,2010,293500000.0,High
51,2014-03-28,Noah,130000000.0,101200044.0,352831065.0,2.7140851153846155,222831065.0,2014,Noah,Par.,101200000.0,261399999.0,2014,362599999.0,High
52,2011-12-21,The Adventures of Tintin,130000000.0,77591831.0,373993951.0,2.8768765461538464,243993951.0,2011,The Adventures of Tintin,Par.,77600000.0,296400000.0,2011,374000000.0,High
53,2013-05-31,After Earth,130000000.0,60522097.0,251499665.0,1.9346128076923077,121499665.0,2013,After Earth,Sony,60500000.0,183300000.0,2013,243800000.0,High
55,2013-07-19,R.I.P.D.,130000000.0,33618855.0,79076678.0,0.6082821384615384,-50923322.0,2013,R.I.P.D.,Uni.,33600000.0,44700000.0,2013,78300000.0,High
60,2014-12-19,Night at the Museum: Secret of the Tomb,127000000.0,113746621.0,353756621.0,2.7854852047244094,226756621.0,2014,Night at the Museum: Secret of the Tomb,Fox,113700000.0,249500000.0,2014,363200000.0,High
62,2014-11-21,The Hunger Games: Mockingjay - Part 1,125000000.0,337135885.0,766575131.0,6.132601048,641575131.0,2014,The Hunger Games: Mockingjay - Part 1,LGF,337100000.0,418200000.0,2014,755300000.0,High
67,2011-04-29,Fast Five,125000000.0,210031325.0,630163454.0,5.041307632,505163454.0,2011,Fast Five,Uni.,209800000.0,416300000.0,2011,626100000.0,High
69,2011-12-16,Sherlock Holmes: A Game of Shadows,125000000.0,186848418.0,535663443.0,4.285307544,410663443.0,2011,Sherlock Holmes: A Game of Shadows,WB,186800000.0,358600000.0,2011,545400000.0,High
71,2017-03-31,The Boss Baby,125000000.0,175003033.0,510878762.0,4.087030096,385878762.0,2017,The Boss Baby,Fox,175000000.0,353000000.0,2017,528000000.0,High
73,2016-11-04,Trolls,125000000.0,153707064.0,344150134.0,2.753201072,219150134.0,2016,Trolls,Fox,153700000.0,193200000.0,2016,346900000.0,High
